rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BULL,DFH,100.0,1.0,2024-01-12,37.2833,3.9968,0.9133,0.1753,1.6632,1.0,0.0,1.0833,0.0,1.0833,Small Cap
2,BULL,SBCF,98.48,0.9848,2024-01-12,25.8759,-1.2533,0.8945,-0.0413,1.4093,1.0,0.0,0.65,0.0,0.65,Small Cap
3,BULL,CVBF,98.19,0.9819,2024-01-12,20.3254,-1.7413,0.7529,-0.0501,1.1546,1.0,0.0,0.65,0.0,0.65,Small Cap
4,BULL,HUBG,97.97,0.9797,2024-01-12,25.8167,2.293,0.8628,0.0528,0.7794,1.0,0.0,0.65,0.0,0.65,Small Cap
5,BULL,BKU,97.95,0.9795,2024-01-12,30.4702,-1.3928,0.8809,-0.0467,1.7037,1.0,0.0,0.65,0.2333,0.4167,Small Cap
6,BULL,WSFS,97.42,0.9742,2024-01-12,23.4717,0.6052,0.8182,0.0205,1.381,1.0,0.0,0.65,0.0,0.65,Small Cap
7,BULL,ADEA,97.37,0.9737,2024-01-12,41.3913,1.723,0.896,0.0524,1.4284,1.0,0.0,1.0833,0.0,1.0833,Small Cap
8,BULL,HCI,96.83,0.9683,2024-01-12,29.1786,-0.0102,0.9377,0.0011,0.5245,1.0,0.0,0.65,0.0,0.65,Small Cap
9,BULL,HASI,96.42,0.9642,2024-01-12,27.3974,-1.8003,0.9779,-0.0904,2.4102,1.0,0.0,0.65,0.0,0.65,Small Cap
10,BULL,SKY,96.07,0.9607,2024-01-12,23.6717,-0.159,0.7744,0.0055,1.4235,1.0,0.0,0.65,0.0,0.65,Small Cap
