rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BEAR,CHTR,100.0,1.0,2023-12-07,37.5648,-3.4408,0.8775,-0.1519,1.0269,1.0,0.0,0.0,0.9167,-0.8333,Large Cap
2,BEAR,HSIC,98.28,0.9828,2023-12-07,22.1804,5.1214,0.8752,0.0466,0.2481,1.0,0.0,0.0,0.5,-0.5,Large Cap
3,BEAR,PYPL,96.76,0.9676,2023-12-07,26.5259,2.0452,0.9866,-0.0388,1.3369,1.0,0.0,0.0,0.5833,-0.5833,Large Cap
4,BEAR,CPT,96.43,0.9643,2023-12-07,19.131,2.8804,0.754,-0.0145,0.9716,1.0,0.0,0.0,0.5,-0.5,Large Cap
5,BEAR,HAS,96.39,0.9639,2023-12-07,26.2089,3.3212,0.6805,0.0089,0.9554,1.0,0.0,0.0,0.65,-0.65,Large Cap
6,BEAR,IQV,96.08,0.9608,2023-12-07,20.3433,3.2396,0.7517,-0.0002,1.0688,1.0,0.0,0.0,0.2333,-0.2333,Large Cap
7,BEAR,J,95.26,0.9526,2023-12-07,19.3042,-1.3874,0.7965,-0.1121,0.6366,1.0,0.0,0.0,0.325,-0.325,Large Cap
8,BEAR,RVTY,94.81,0.9481,2023-12-07,17.4362,2.6533,0.6537,-0.0005,0.4138,1.0,0.0,0.0,0.65,-0.65,Large Cap
9,BEAR,JBL,94.34,0.9434,2023-12-07,24.5159,-2.6869,0.8954,-0.1638,1.2914,1.0,0.0,0.0,0.25,-0.25,Large Cap
10,BEAR,ES,92.92,0.9292,2023-12-07,24.749,3.4822,0.787,0.0288,0.6804,1.0,0.0,0.0,0.3333,-0.3333,Large Cap
