rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence
13,BEAR,BIDU,3.33,0.9526,2024-01-12,11.0328,-0.8878,0.8729,-0.0525,1.1182,1.0,0.0,0.0,0.5333,-0.5333
14,BEAR,FDP,3.33,0.9503,2024-01-12,29.0565,0.4915,0.7853,0.0026,0.0919,1.0,0.0,0.0,0.25,-0.25
15,BEAR,UNF,3.33,0.9493,2024-01-12,28.0109,-2.8693,0.9742,-0.092,1.0125,1.0,0.0,0.0,0.4,-0.4
16,BEAR,WINA,3.33,0.9482,2024-01-12,31.7732,-4.8154,0.8817,-0.187,0.8709,1.0,0.0,0.0,0.325,-0.325
17,BEAR,ADM,3.33,0.9479,2024-01-12,19.2591,-4.1362,0.8056,-0.0887,0.2982,1.0,0.0,0.0,0.4,-0.4
18,BEAR,RRX,3.33,0.947,2024-01-12,27.2412,0.7396,0.7239,0.015,0.5677,1.0,0.0,0.0,0.25,-0.25
19,BEAR,SCHL,3.33,0.9464,2024-01-12,12.2433,-2.1153,0.7337,-0.0487,0.3871,1.0,0.0,0.0,0.325,-0.325
20,BEAR,BJ,3.33,0.9456,2024-01-12,11.0328,-1.0174,0.7397,-0.033,0.3496,1.0,0.0,0.0,0.5333,-0.5333
21,BEAR,DAL,3.33,0.9452,2024-01-12,29.0833,-2.1733,1.0,-0.0743,1.1149,1.0,0.0,0.0,0.25,-0.25
22,BEAR,BANC,3.33,0.945,2024-01-12,14.8375,-0.6311,0.7051,-0.0203,1.6985,1.0,0.0,0.0,0.2333,-0.2333
23,BEAR,SHEN,3.33,0.9412,2024-01-12,22.0094,-0.9314,0.669,-0.0467,0.2731,1.0,0.0,0.0,0.4,-0.4
24,BEAR,COHR,3.33,0.9404,2024-01-12,27.7297,-0.3414,0.8322,-0.0149,1.8643,1.0,0.0,0.0,0.2917,-0.2917
25,BEAR,BDC,3.33,0.9399,2024-01-12,19.5994,-0.627,0.5173,-0.0187,0.3814,1.0,0.0,0.0,0.65,-0.65
26,BEAR,PFE,3.33,0.9399,2024-01-12,16.9817,3.0136,0.8177,0.0506,0.1114,1.0,0.0,0.0,1.034,-1.0128
27,BEAR,HUM,3.33,0.9395,2024-01-12,19.3782,-4.3653,0.7278,-0.1278,0.0187,1.0,0.0,0.0,0.4,-0.4
28,BEAR,CPK,3.33,0.9381,2024-01-12,29.781,-0.9939,0.8251,0.0025,0.6978,1.0,0.0,0.0,0.5833,-0.5833
29,BEAR,BBY,3.33,0.9375,2024-01-12,15.891,0.9029,0.7931,0.0309,0.6243,1.0,0.0,0.0,0.175,-0.175
30,BEAR,KW,3.33,0.9363,2024-01-12,14.0767,-1.3135,0.6526,-0.0474,0.7859,1.0,0.0,0.0,0.9333,-0.9333
