rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct
21,BULL,FBNC,3.33,0.9135,2023-12-07,18.7574,4.283,0.8071,0.0293,0.8093,1.0,0.0,0.1333,0.1333,0.0,17.91,26.15,32.98
22,BULL,SAH,3.33,0.9123,2023-12-07,15.6999,0.1218,0.8214,-0.0871,0.8267,1.0,0.0,0.5417,0.0,0.5417,17.69,25.85,32.59
23,BULL,CALM,3.33,0.9121,2023-12-07,16.1449,2.2217,0.8712,0.0123,0.1853,1.0,0.0,0.2667,0.0,0.2667,17.59,25.7,32.4
24,BULL,TKR,3.33,0.9118,2023-12-07,13.8782,2.0991,0.8333,-0.033,0.782,1.0,0.0,0.3333,0.0,0.3333,17.49,25.56,32.22
25,BULL,PTGX,3.33,0.9095,2023-12-07,31.0179,6.4549,0.9657,0.1963,0.8547,1.0,0.0,0.6667,0.0,0.6667,17.09,25.0,31.51
26,BULL,T,3.33,0.9061,2023-12-07,34.6297,5.1658,0.6708,0.0507,0.2902,1.0,0.0,0.6667,0.0,0.6667,16.64,24.35,30.69
27,BULL,ORA,3.33,0.8995,2023-12-07,25.9675,4.733,0.8874,0.0734,0.8448,1.0,0.0,0.25,0.0,0.25,15.8,23.14,29.2
28,BULL,NOC,3.33,0.8994,2023-12-07,14.1539,2.8494,0.6106,-0.0393,0.1051,1.0,0.0,0.1333,0.0,0.1333,15.73,23.03,29.07
29,BULL,DOV,3.33,0.8957,2023-12-07,30.1625,6.025,0.746,0.0234,0.6388,1.0,0.0,0.6667,0.0,0.6667,15.14,22.2,28.01
30,BULL,KSS,3.33,0.8957,2023-12-07,13.3276,0.3573,0.9841,-0.0713,1.3187,1.0,0.0,0.1333,0.0,0.1333,15.06,22.1,27.89
1,BEAR,NOV,3.33,1.0,2023-12-07,23.7713,-0.3954,0.8239,0.021,0.4691,1.0,0.0,0.0,0.4128,-0.4128,-99.74,-99.75,-99.8
2,BEAR,JAZZ,3.33,0.9925,2023-12-07,29.6421,-2.3943,0.8346,-0.1434,0.6139,1.0,0.0,0.0,0.2667,-0.2667,-55.83,-64.77,-69.77
