rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct
1,BULL,NEE,3.33,0.9916,2023-12-07,22.4426,2.003,0.6325,-0.0037,0.3757,1.0,0.0,0.0833,0.0,0.0833,34.67,50.99,65.17
2,BULL,PDFS,3.33,0.9864,2023-12-07,30.1028,2.3039,0.671,-0.0127,1.3218,1.0,0.0,0.4167,0.25,0.1667,29.19,42.85,54.3
3,BULL,NSIT,3.33,0.9761,2023-12-07,33.2708,7.1168,0.9681,0.0816,0.5711,1.0,0.0,0.1333,0.0,0.1333,23.65,34.51,43.65
4,BULL,DOC,3.33,0.9741,2023-12-07,23.8805,4.6924,0.8395,0.0541,1.3177,1.0,0.0,0.1083,0.0,0.1083,22.96,33.46,42.34
5,BULL,BBT,3.33,0.9729,2023-12-07,24.7746,4.9066,0.8426,0.0223,0.8366,1.0,0.0,0.1083,0.0,0.1083,22.53,32.83,41.53
6,BULL,CPB,3.33,0.9709,2023-12-07,15.0345,3.6818,0.9369,0.0316,-0.0584,1.0,0.0,0.1083,0.0,0.1083,21.91,31.95,40.38
7,BULL,RIVN,3.33,0.9703,2023-12-07,17.8316,2.1369,0.6465,-0.0217,2.3312,1.0,0.0,0.1083,0.0,0.1083,21.72,31.66,40.03
8,BULL,XPO,3.33,0.9625,2023-12-07,24.0374,-0.4392,0.844,-0.0961,1.4466,1.0,0.0,0.2167,0.0583,0.1583,19.75,28.82,36.39
9,BULL,SOFI,3.33,0.9612,2023-12-07,18.289,1.6285,0.8692,-0.0067,2.075,1.0,0.0,0.1083,0.0,0.1083,19.47,28.42,35.88
10,BULL,HIMS,3.33,0.958,2023-12-07,47.9017,5.3913,0.9061,0.1437,1.2071,1.0,0.0,0.2667,0.0,0.2667,18.83,27.49,34.67
11,BULL,FBNC,3.33,0.9554,2023-12-07,18.7574,4.283,0.8071,0.0293,0.8093,1.0,0.0,0.1333,0.1333,0.0,18.36,26.8,33.78
12,BULL,RMD,3.33,0.9412,2023-12-07,26.6311,3.8629,0.7589,0.0211,0.6416,1.0,0.0,0.1667,0.0,0.1667,16.21,23.73,29.92
13,BULL,NOC,3.33,0.9405,2023-12-07,14.1539,2.8494,0.6106,-0.0393,0.1051,1.0,0.0,0.1333,0.0,0.1333,16.13,23.61,29.77
14,BULL,SSD,3.33,0.9379,2023-12-07,40.9558,9.6155,0.8959,0.1505,0.9681,1.0,0.0,0.6667,0.0,0.6667,15.8,23.14,29.2
15,BULL,KSS,3.33,0.9367,2023-12-07,13.3276,0.3573,0.9841,-0.0713,1.3187,1.0,0.0,0.1333,0.0,0.1333,15.65,22.92,28.93
16,BULL,STLD,3.33,0.9354,2023-12-07,23.0221,1.9561,0.7727,-0.0354,0.8041,1.0,0.0,0.1333,0.0,0.1333,15.5,22.71,28.66
17,BULL,NJR,3.33,0.9347,2023-12-07,13.4288,3.7458,0.8949,0.016,0.3969,1.0,0.0,0.4333,0.0,0.4333,15.42,22.61,28.53
18,BULL,PLAB,3.33,0.9334,2023-12-07,21.326,2.5379,0.5863,-0.0129,1.456,1.0,0.0,0.4167,0.0,0.4167,15.28,22.4,28.27
19,BULL,M,3.33,0.9302,2023-12-07,41.2338,9.4604,0.9854,0.2943,1.0243,1.0,0.0,0.2667,0.0,0.2667,14.93,21.9,27.65
20,BULL,PEN,3.33,0.9295,2023-12-07,24.4105,4.3655,0.7484,0.085,0.8028,1.0,0.0,0.1667,0.0,0.1667,14.86,21.8,27.53
21,BULL,MARA,3.33,0.9282,2023-12-07,47.1122,9.3655,0.9225,0.2943,2.3526,1.0,0.0,0.4,0.0,0.4,14.73,21.61,27.29
22,BULL,UTHR,3.33,0.9231,2023-12-07,20.265,3.5717,0.772,-0.0033,0.2336,1.0,0.0,0.6667,0.0,0.6667,14.22,20.9,26.39
23,BULL,CALM,3.33,0.9211,2023-12-07,16.1449,2.2217,0.8712,0.0123,0.1853,1.0,0.0,0.2667,0.0,0.2667,14.04,20.64,26.07
24,BULL,CRL,3.33,0.9192,2023-12-07,21.2893,5.5709,0.7347,0.0686,1.13,1.0,0.0,0.1083,0.0,0.1083,13.87,20.4,25.76
25,BULL,BROS,3.33,0.9121,2023-12-07,21.6543,0.6028,0.9155,-0.0673,1.3275,1.0,0.0,0.1167,0.0,0.1167,13.27,19.54,24.7
26,BULL,TKR,3.33,0.9108,2023-12-07,13.8782,2.0991,0.8333,-0.033,0.782,1.0,0.0,0.3333,0.0,0.3333,13.17,19.4,24.52
27,BULL,MHO,3.33,0.9101,2023-12-07,53.4985,7.7133,0.7839,0.0943,1.3954,1.0,0.0,0.4,0.0,0.4,13.12,19.32,24.44
28,BULL,BBWI,3.33,0.9095,2023-12-07,25.2008,4.3196,0.9756,0.0723,0.9277,1.0,0.0,0.6667,0.0,0.6667,13.07,19.25,24.35
29,BULL,ORA,3.33,0.9089,2023-12-07,25.9675,4.733,0.8874,0.0734,0.8448,1.0,0.0,0.25,0.0,0.25,13.02,19.18,24.26
30,BULL,EIX,3.33,0.9076,2023-12-07,14.4,3.8945,0.7421,0.0156,0.6855,1.0,0.0,0.1333,0.0,0.1333,12.92,19.05,24.09
