Ticker,Price Oct 23 (Rs),Price Apr 23 (Rs),% Difference,,,,,,,,,,,,
NAM-INDIA.NS,335.81,534.81,59.26,,,,,,,,,,,,
NMDC.NS,45.16,71.86,59.14,,,,,,,,,,,,
BANKINDIA.NS,85.67,136.15,58.92,,,,,,,,,,,,
NSLNISP.NS,41.15,65.25,58.57,,,,,,,,,,,,
KEI.NS,2537.71,4008.23,57.95,,,,,,,,,,,,
LODHA.NS,779.56,1228.93,57.65,,,,,,,,,,,,
CHALET.NS,562.58,885.77,57.45,,,,,,,,,,,,
ASTERDM.NS,249.65,391.78,56.93,,,,,,,,,,,,
YESBANK.NS,16.35,25.65,56.88,,,,,,,,,,,,
PTCIL.NS,4829.95,7570.9,56.75,,,,,,,,,,,,
ONGC.NS,159.35,249.36,56.48,,,,,,,,,,,,
INTELLECT.NS,629.98,985.4,56.42,,,,,,,,,,,,
KSB.NS,591.31,924.14,56.29,,,,,,,,,,,,
GODREJPROP.NS,1630.2,2535.8,55.55,,,,,,,,,,,,
THERMAX.NS,2907.93,4516.42,55.31,,,,,,,,,,,,
VBL.NS,366.97,569.56,55.21,,,,,,,,,,,,
INDIGO.NS,2386.92,3696.3,54.86,,,,,,,,,,,,
ALOKINDS.NS,17.7,27.4,54.8,,,,,,,,,,,,
UNIONBANK.NS,89.52,138.43,54.63,,,,,,,,,,,,
CASTROLIND.NS,121.87,188.4,54.59,,,,,,,,,,,,
TRITURBINE.NS,339.79,524.16,54.26,,,,,,,,,,,,
DBREALTY.NS,143.6,221.5,54.25,,,,,,,,,,,,
UCOBANK.NS,35.1,53.9,53.57,,,,,,,,,,,,
IRCTC.NS,645.75,988.74,53.11,,,,,,,,,,,,
AMBUJACEM.NS,413.19,632.32,53.04,,,,,,,,,,,,
JBMA.NS,577.88,883.78,52.94,,,,,,,,,,,,
REDINGTON.NS,135.62,207.35,52.89,,,,,,,,,,,,
INDHOTEL.NS,393.51,600.72,52.66,,,,,,,,,,,,
HEG.NS,322.12,491.4,52.56,,,,,,,,,,,,
COALINDIA.NS,254.4,387.69,52.4,,,,,,,,,,,,
GICRE.NS,204.66,310.91,51.91,,,,,,,,,,,,
PPLPHARMA.NS,93.67,141.86,51.44,,,,,,,,,,,,
QUESS.NS,392.23,590.12,50.45,,,,,,,,,,,,
CENTRALBK.NS,41.68,62.5,49.94,,,,,,,,,,,,
NTPC.NS,221.19,330.94,49.62,,,,,,,,,,,,
HSCL.NS,246.42,366.69,48.81,,,,,,,,,,,,
BOSCHLTD.NS,19325.23,28745.65,48.75,,,,,,,,,,,,
GRAPHITE.NS,442.91,658.84,48.75,,,,,,,,,,,,
LICHSGFIN.NS,438.17,650.88,48.54,,,,,,,,,,,,
HFCL.NS,64.68,96.04,48.5,,,,,,,,,,,,
GODFRYPHLP.NS,682.39,1012.88,48.43,,,,,,,,,,,,
JSWINFRA.NS,166.65,247.11,48.28,,,,,,,,,,,,
DATAPATTNS.NS,1939.26,2874.05,48.2,,,,,,,,,,,,
POWERGRID.NS,180.36,267.04,48.06,,,,,,,,,,,,
APARINDS.NS,5135.25,7570.92,47.43,,,,,,,,,,,,
JUSTDIAL.NS,741.6,1089.3,46.89,,,,,,,,,,,,
RTNINDIA.NS,50.95,74.35,45.93,,,,,,,,,,,,
360ONE.NS,512.68,747.91,45.88,,,,,,,,,,,,
RITES.NS,217.41,316.63,45.64,,,,,,,,,,,,
PCBL.NS,177.82,258.4,45.32,,,,,,,,,,,,
SUNDARMFIN.NS,3124.91,4535.95,45.15,,,,,,,,,,,,
ELECON.NS,386.05,560.08,45.08,,,,,,,,,,,,
RADICO.NS,1183.56,1715.11,44.91,,,,,,,,,,,,
KALYANKJIL.NS,285.87,412.52,44.3,,,,,,,,,,,,
NAUKRI.NS,805.01,1154.19,43.38,,,,,,,,,,,,
BASF.NS,2467.81,3538.29,43.38,,,,,,,,,,,,
DIXON.NS,5413.65,7760.42,43.35,,,,,,,,,,,,
BHARTIARTL.NS,926.35,1323.84,42.91,,,,,,,,,,,,
ADANIENSOL.NS,735.8,1050.05,42.71,,,,,,,,,,,,
MANAPPURAM.NS,129.52,184.65,42.56,,,,,,,,,,,,
JINDALSTEL.NS,637.55,906.15,42.13,,,,,,,,,,,,
NEWGEN.NS,520.25,738.84,42.02,,,,,,,,,,,,
KFINTECH.NS,447.49,634.71,41.84,,,,,,,,,,,,
TORNTPHARM.NS,1827.44,2588.78,41.66,,,,,,,,,,,,
POONAWALLA.NS,348.97,494.15,41.6,,,,,,,,,,,,
KIRLOSBROS.NS,892.13,1261.55,41.41,,,,,,,,,,,,
HEROMOTOCO.NS,2884.27,4065.88,40.97,,,,,,,,,,,,
SHYAMMETL.NS,430.64,603.91,40.23,,,,,,,,,,,,
SBIN.NS,533.13,745.29,39.8,,,,,,,,,,,,
CGPOWER.NS,381.28,531.92,39.51,,,,,,,,,,,,
CONCORDBIO.NS,1144.36,1594.35,39.32,,,,,,,,,,,,
MGL.NS,968.11,1348.4,39.28,,,,,,,,,,,,
CHAMBLFERT.NS,263.31,366.69,39.26,,,,,,,,,,,,
PETRONET.NS,198.92,276.91,39.2,,,,,,,,,,,,
JBCHEPHARM.NS,1259,1750.7,39.05,,,,,,,,,,,,
IDBI.NS,60.67,84.26,38.89,,,,,,,,,,,,
LLOYDSME.NS,517.28,717.12,38.63,,,,,,,,,,,,
