rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct
6,BEAR,HLIT,3.33,0.7421,2024-03-01,29.6279,1.6994,0.8195,0.0283,1.1107,1.0,0.0,0.2667,0.0,0.2667,-31.67,-41.03,-46.62
7,BEAR,OII,3.33,0.7411,2024-03-01,19.3518,-0.2533,1.0,-0.0698,0.8532,1.0,0.0,0.2333,0.0,0.2333,-29.62,-38.62,-44.25
8,BEAR,MTZ,3.33,0.7386,2024-03-01,23.768,4.9376,1.0,0.1442,1.7455,1.0,0.0,0.0,0.0,0.0,-27.26,-35.81,-41.37
9,BEAR,AN,3.33,0.7372,2024-03-01,13.9449,1.5073,0.944,0.0006,1.1058,1.0,0.0,0.0,0.0,0.0,-25.48,-33.65,-39.1
10,BEAR,PTEN,3.33,0.7303,2024-03-01,23.1795,2.3554,0.892,0.028,0.5199,1.0,0.0,0.0,0.0,0.0,-20.73,-27.78,-32.58
11,BEAR,VSH,3.33,0.7294,2024-03-01,20.437,0.8181,0.9986,-0.0094,1.1691,1.0,0.0,0.0,0.0,0.0,-20.46,-27.45,-32.21
12,BEAR,BOX,3.33,0.724,2024-03-01,20.2362,0.5002,0.7562,-0.0213,1.2947,1.0,0.0,0.0,0.0,0.0,-17.84,-24.02,-28.31
13,BEAR,ARGX,3.33,0.723,2024-03-01,22.0092,0.7077,0.5709,-0.0295,1.7703,1.0,0.0,0.0,0.0,0.0,-17.52,-23.6,-27.81
14,BEAR,FHI,3.33,0.7186,2024-03-01,18.8743,1.7059,0.8304,0.0157,0.6191,1.0,0.0,0.1333,0.0,0.1333,-16.25,-21.93,-25.87
15,BEAR,CRUS,3.33,0.7034,2024-03-01,27.9242,7.5073,0.7692,0.1598,1.4918,1.0,0.0,0.0,0.0,0.0,-13.27,-17.89,-21.2
16,BEAR,RES,3.33,0.6966,2024-03-01,22.8913,1.2994,0.8357,-0.0191,0.317,1.0,0.0,0.0,0.0,0.0,-12.29,-16.58,-19.65
17,BEAR,ABCB,3.33,0.6843,2024-03-01,29.8438,-2.0933,0.7849,-0.0814,1.3376,1.0,0.0,0.0,0.0,0.0,-10.85,-14.58,-17.29
18,BEAR,TKO,3.33,0.6839,2024-03-01,23.75,-1.4117,0.7406,-0.0068,0.5569,1.0,0.0,0.0,0.0,0.0,-10.8,-14.51,-17.21
19,BEAR,CORT,3.33,0.6819,2024-03-01,17.0338,2.1447,0.6968,0.0789,2.4691,1.0,0.0,0.0,0.325,-0.325,-10.61,-14.25,-16.89
20,BEAR,WPC,3.33,0.6791,2024-03-01,41.0721,-4.6394,0.7874,-0.1045,0.3597,1.0,0.0,0.0,0.4,-0.4,-10.24,-13.74,-16.28
21,BEAR,JBSS,3.33,0.6785,2024-03-01,19.1253,-1.7566,0.8786,-0.0645,0.1872,1.0,0.0,0.0,0.0,0.0,-10.15,-13.62,-16.14
22,BEAR,CHWY,3.33,0.6677,2024-03-01,20.6151,0.1697,0.5581,-0.0349,1.7521,1.0,0.0,0.1167,0.0,0.1167,-9.29,-12.44,-14.71
23,BEAR,CALX,3.33,0.6638,2024-03-01,31.3894,1.3614,0.5974,0.0171,1.43,1.0,0.0,0.0,0.0,0.0,-9.03,-12.07,-14.27
24,BEAR,FLR,3.33,0.6631,2024-03-01,21.5453,-1.1057,0.9245,-0.0883,1.2836,1.0,0.0,0.4083,0.2167,0.1917,-8.96,-11.97,-14.15
25,BEAR,AR,3.33,0.6618,2024-03-01,32.3912,4.3802,0.8659,0.098,0.4203,1.0,0.0,0.2667,0.0,0.2667,-8.85,-11.82,-13.97
26,BEAR,ABG,3.33,0.6584,2024-03-01,23.3146,-0.6194,0.7506,-0.0604,1.28,1.0,0.0,0.0,0.0,0.0,-8.61,-11.49,-13.56
27,BEAR,AMPH,3.33,0.656,2024-03-01,22.2452,-2.8955,0.8113,-0.1736,0.29,1.0,0.0,0.0,0.0,0.0,-8.48,-11.3,-13.33
28,BEAR,SEM,3.33,0.6521,2024-03-01,23.7389,0.5089,0.8803,-0.0126,0.3654,1.0,0.0,0.0,0.0,0.0,-8.22,-10.94,-12.89
29,BEAR,DG,3.33,0.6423,2024-03-01,20.3699,3.7592,0.8515,0.0723,0.1564,1.0,0.0,0.0,0.0,0.0,-7.61,-10.09,-11.86
30,BEAR,ZBH,3.33,0.6342,2024-03-01,18.3116,-1.3081,0.8477,-0.0534,0.1279,1.0,0.0,0.0,0.0833,-0.0833,-7.11,-9.4,-11.02
